comment,user_id,user_name,user_level,user_verify
涨粉舒服肉眼可见般的快,39601027,Bbbbbye,5,-1
回复 @一颗莫得灵魂的圣晶石 :举报了昂。别把人吓着[呆],13527981,顺时针不停转,6,-1
回复 @吃花椒的喵酱 :豹冰冰,504638602,蜜桃园结义,4,-1
抓住饼叔[滑稽],514538607,等待白羊,3,-1
回复 @地表最强小公举吹 :群号发一下，有钱一起赚,22771655,Wanli万里-,5,-1
[辣眼睛][辣眼睛]一刷几个赞,312999649,啊帆_,4,-1
回复 @吃花椒的喵酱 :嘿冰冰,96264561,自由树树皆秋色,5,-1
饼叔好,16908640,鬼kill,6,-1
反思一下，为什么关注了三个人就没提到你,299915969,__小瓶子,5,-1
回复 @吃花椒的喵酱 :呼呼！[星星眼],229758574,wuli俊凯迷妹,3,-1
饼叔送上去,345663008,快乐非酋_von,5,-1
饼叔你来了[呆][呆][呆],219619708,那些回不去的小时光,5,-1
叔的评论这辈子有望破万吗？,94358969,簡丶緒,5,-1
我的心是冰冰的，胃是饼饼的，脑子是线代高数c语言的[tv_鬼脸][tv_鬼脸][tv_鬼脸],327524372,会飞的翔あ,4,-1
心是冰冰哒，冰冰终于来啦,516851516,微风1909,4,-1
我的心是饼饼的,295734103,熬夜令人秃头,5,-1
回复 @吃花椒的喵酱 :我的心才是冰冰的~~[doge][爱心],179030020,叙世视频,6,-1
上去,525655460,酸的石榴,4,-1
[呆],290472831,重樱幼稚园の校长,5,-1
天冷了，我的心都是__的[doge],38149712,柠檬没我萌嘞,5,-1
回复 @吃花椒的喵酱 :捉,327021767,平平无奇的预言家罢了,5,-1
这vlog风格，是不是饼叔你们制作的[呆],36988017,R1chardZheng,5,-1
叔，羡慕不,108804175,喝西北风的喵酱,5,-1
回复 @随便打打12131243 :所以是大小号互动吗？[热词系列_爱了爱了],430626798,挚爱毅生858885,3,-1
哈哈哈哈哈哈这个表情[呆][呆][呆],288745876,同时性的相对性,5,-1
回复 @吃花椒的喵酱 :冰冰~[哦呼],88984918,Samlthal,5,-1
活捉一只野生饼叔[doge][doge][doge],352337408,浑元形意传人,4,-1
[呆],131380100,嫁你是因为他喜欢人妻,5,-1
饼叔,288164403,将醒梦未眠,5,-1
回复 @地表最强小公举吹 :不至于不至于不至于,33123258,叶修咻咻咻,5,-1
后期都是你们做的吧，强行装作不知道[doge][doge][doge][呆],90135336,TylerZon,5,-1
嘿，你来了嘿,130187052,小王儿2333,5,-1
回复 @吃花椒的喵酱 :冰冰！！！[大笑][呆],11126302,坐骨神经老中医,5,-1
双厨狂喜,74404125,风月の羁绊,4,-1
这是自拍吗？[doge],22730919,别回复我-你正确,5,-1
我是从下个月穿越过来的，那个时候冰冰粉丝数比饼饼还多[doge],174144111,阿钦正传,5,-1
借冰冰的地盘，承包本楼的饼饼！,14322285,孙悟饭比迪丽1314,5,-1
冰冰来B站了啊[打call][打call][打call]，是冰冰本人吗？？？,96219179,海啸台风,5,-1
"[2020][呆]
[2021][吃瓜]",430102135,SAe丶,5,-1
回复 @地表最强小公举吹 :不至于不至于[妙啊],321660522,卑微小刘TnT,5,-1
回复 @地表最强小公举吹 :不至于不至于,8925458,meperdine007,5,-1
我饿了，我的心是饼饼的[doge][doge][doge],404818904,NFVWPQ-CH,5,-1
上去,7887706,小宋可不能秃头,4,-1
这个表情怎么会和叔长得一模一样哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,8783121,everydayhuaduo,6,-1
一刷一个赞，真好玩[doge],130914917,mioaaaaaaaaaaa,5,-1
冰冰和饼饼,304724146,一件牛色毛衣,4,-1
让一让让一让[呆],251606095,梁枫阿,5,-1
[呆][呆][呆][呆][呆],23050029,大负B,5,-1
失业预告[doge],14001965,狛枝凪斗W,6,-1
一时想不起骚话,8559003,言葉にできず,5,-1
叔；我是冰冰的百大粉丝[热词系列_真香],245451562,陈囐,4,-1
饼饼偷吃把冰冰带偏了[doge],236611815,敦仁贰哥,5,-1
饼叔听到了吗，火锅，赶紧给冰冰安排[呆],397188322,七拐八扭,4,-1
我要让全世界都知道：我的心是饼饼的[呆],23660640,四处观察滚滚分察,5,-1
一刷十赞离谱,451438306,冬星ix,4,-1
嘿 饼饼,437305069,lan的出奇,4,-1
你失宠了谢谢,15606625,素素苏酥,5,-1
回复 @吃花椒的喵酱 :我的心是冰冰的[害羞],219619708,那些回不去的小时光,5,-1
回复 @地表最强小公举吹 :不至于不至于,59381575,今年上岸再改名l,5,-1
回复 @地表最强小公举吹 :不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于,42448197,查干湖大厨,5,-1
"颜值担当颜值担当颜值担当颜值担当
颜值担当颜值担当颜值担当颜值担当
颜值担当颜值担[呆]颜值担当颜值担当
颜值担当颜值担当颜值担当颜值担当
颜值担当颜值担当颜值担当颜值担当",504323731,元_Yuan,4,-1
[呆][呆][呆][呆],76127,清凌,5,-1
我等妳好久了[妙啊],27640415,財_神,5,-1
叔，您来了！,3456220,凯撒之魂,6,-1
[呆],38566214,黎明前等天黑,5,-1
央视颜值区间（-∞，+∞）[微笑],2114959186,夜雨G北,3,-1
第一万个赞是我点的[呲牙][doge],39647287,一念如熙,5,-1
冰冰明年粉丝就比你多了，怕不怕,1379204,Candy栋,6,-1
嘿嘿，第一万赞\(≧▽≦)/。,168315609,杀吧大爷,5,-1
[呆]这表情绝对是照着叔的脸做的,15065316,羽翼之下的天空w,5,-1
你们的视频啥时候发啊,20891709,bboobbbb,6,-1
回复 @吃花椒的喵酱 :南京今天好冷，整个人都是冰冰的[doge][妙啊][狗子],18092940,人类小电影精华,5,-1
回复 @MONSTER丶kk :天气真冷，搞得我的心都是冰冰的[doge],55054040,苏打原来是你啊,4,-1
可以把你取关了[doge],391927190,爱穿衬衫的喵酱,4,-1
要等你和冰冰做节目都啥时候才能看见冰冰？？？,371834632,荡五洲震四海,5,-1
[吃瓜],1597261,是叶寒寒呀v-v,6,-1
[呆][呆][呆]您来干嘛,10175726,西瓜君爱夏天,5,-1
回复 @地表最强小公举吹 :不至于不至于,103069964,好人鈜,6,-1
40分钟12000赞,439230986,Istaner,3,-1
回复 @地表最强小公举吹 :脸是饼饼的[呆][呆][呆]，心更是冰冰的,318137447,吃花椒的苗醤,5,-1
饼叔出场，自带笑声,621588274,贪吃的曲奇饼,4,-1
[呆][呆][呆],1387932,素夜夜夜夜,5,-1
回复 @地表最强小公举吹 :不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于不至于,433921826,-Absinthe--,4,-1
回复 @地表最强小公举吹 :我也是[妙啊][妙啊],32293151,默然回首处,5,-1
回复 @地表最强小公举吹 :恰烂钱？[doge],379474616,人间理想莹冰冰,5,-1
回复 @吃花椒的喵酱 :希望能在青年大学习上多看到你几次[doge],336489165,提伯斯说它想安妮了,5,-1
饼饼与冰冰第二期gkd,798193,LLHansLL,5,-1
原来这个表情[呆]是这么用的,346213577,哦唷喔,3,-1
你说是不是你团队拍的！,10068280,潘三石-,5,-1
是你呀饼[呆],92096801,就逍遥啊,5,-1
叔的百万稳重可以去找冰冰了,239412807,没有童心的孩儿,4,-1
[呆]太丑了,350751040,-江畔何人初见月,5,-1
[呆][呆][呆],2650261,夜殇o微光,6,-1
"饼饼 ❌
冰冰✔️",651363,真是英俊,6,-1
我在想冰冰就三个关注，为什么只说了毕导和何同学不说你[抠鼻],32197908,柏拉图先森,5,-1
！！！,361075561,獾獾和蛇蛇的绝美爱情,4,-1
[呆][呆][呆][呆][呆][呆][呆][呆],827733,涯角驴骑士,5,-1
[热词系列_好家伙][热词系列_不愧是你],397568234,百里云海,4,-1
[呆]嘿,19438175,吃花椒旳貓醬,5,-1
冰冰没提到你,256898377,尢雨溪,4,-1
嗨，来了[doge],267567430,按时吃饭准时睡觉,5,-1
野兽前辈,104876709,dhhshdhhd,5,-1
一刷一万粉真好玩,12114139,HerbertBin,5,-1
啊啊啊,490558667,念来过倒是字名,4,-1
你谁啊？嗷，是小饼啊，那没事了！,88432316,纳豆敏感,5,-1
[呆][呆][呆][呆],508735496,cr的北极熊,4,-1
看看冰冰的这次一定,12116719,Spidery125,5,-1
今天记得用户名了[doge],147951063,囡-Ye,5,-1
我的身体是冰冰的，我的心也是冰冰的,76552790,穷逼杨先生,5,-1
回复 @地表最强小公举吹 :不至于不至于不至于不至于不至于不至于,178718546,正八少,5,-1
50分钟2w赞 离谱,337119777,Ksyakira,5,-1
就没提你[呆],3841506,大都会黑暗骑士,6,-1
美女与野兽[呆],13435323,暴走MAX,5,-1
